ITALIA > CORONAVIRUS > TAMPONI E PERCENTUALE POSITIVI;;;
Dati riferiti alle ore 17:00 del 03.03.2020. Fonte: Dipartimento della Protezione Civile;;;
;martedì 03.03.2020;;
Regione;casi;tamponi;% 
Lombardia;1520;9577;0,158713585
Emilia Romagna;420;2012;0,208747515
Veneto;307;10176;0,030169025
Marche;61;200;0,305
Piemonte;56;458;0,122270742
Campania;30;405;0,074074074
Liguria;24;121;0,198347107
Toscana;19;697;0,027259684
Lazio;14;877;0,015963512
Umbria;8;45;
Sicilia;7;307;0,022801303
Abruzzo;6;52;
Puglia;6;298;0,020134228
Trentino Alto Adige;5;142;0,035211268
Molise;3;13;
Basilicata;1;42;
Calabria;1;39;
Friuli Venezia Giulia ;1;354;0,002824859
Sardegna;1;29;
