 , ,TOTALE ,84133 ,2876 ,36580 ,44677
 , ,Paese/Location ,Casi confermati ,Morti ,Guariti ,In corso
1 , ,China ,78824 ,2788 ,36177 ,39859
2 , ,South Korea ,2337 ,16 ,24 ,2297
3 , ,Italia ,888 ,21 ,46 ,821
4 , ,Diamond Princess ,705 ,6 ,10 ,689
5 , ,Iran ,388 ,34 ,73 ,281
6 , ,Japan ,226 ,5 ,32 ,189
7 , ,Singapore ,96 ,0 ,66 ,30
8 , ,Hong Kong ,93 ,2 ,18 ,73
9 , ,United States ,62 ,0 ,6 ,56
10 , ,France ,57 ,2 ,16 ,39
11 , ,Germany ,48 ,0 , ,48
12 , ,Kuwait ,45 ,0 ,15 ,30
13 , ,Thailand ,41 ,0 ,11 ,30
14 , ,Bahrain ,38 ,0 , ,38
15 , ,Taiwan ,34 ,1 ,5 ,28
16 , ,Spain ,32 ,0 ,15 ,17
17 , ,Malaysia ,25 ,0 ,2 ,23
18 , ,Australia ,24 ,0 ,17 ,7
19 , ,United Kingdom ,20 ,0 ,16 ,4
20 , ,Emirati Arabi Uniti ,19 ,0 ,8 ,11
21 , ,Vietnam ,16 ,0 ,5 ,11
22 , ,Canada ,14 ,0 ,3 ,11
23 , ,Macau ,10 ,0 ,6 ,4
24 , ,Iraq ,8 ,0 , ,8
25 , ,Switzerland ,8 ,0 , ,8
26 , ,Sweden ,7 ,0 , ,7
27 , ,Oman ,6 ,0 , ,6
28 , ,Croatia ,5 ,0 , ,5
29 , ,Greece ,4 ,0 , ,4
30 , ,Israel ,4 ,0 , ,4
31 , ,Norway ,4 ,0 ,3 ,1
32 , ,Austria ,3 ,0 , ,3
33 , ,India ,3 ,0 ,2 ,1
34 , ,Lebanon ,3 ,0 , ,3
35 , ,Philippines ,3 ,1 , ,2
36 , ,Romania ,3 ,0 ,2 ,1
37 , ,Finland ,2 ,0 , ,2
38 , ,Mexico ,2 ,0 , ,2
39 , ,Netherlands ,2 ,0 , ,2
40 , ,Pakistan ,2 ,0 ,1 ,1
41 , ,Russia ,2 ,0 , ,2
42 , ,Afghanistan ,1 ,0 , ,1
43 , ,Albania ,1 ,0 , ,1
44 , ,Algeria ,1 ,0 ,1 ,0
45 , ,Azerbaijan ,1 ,0 , ,1
46 , ,Belarus ,1 ,0 , ,1
47 , ,Belgium ,1 ,0 , ,1
48 , ,Brazil ,1 ,0 , ,1
49 , ,Cambodia ,1 ,0 , ,1
50 , ,Denmark ,1 ,0 , ,1
51 , ,Egypt ,1 ,0 , ,1
52 , ,Estonia ,1 ,0 , ,1
53 , ,Georgia ,1 ,0 , ,1
54 , ,Iceland ,1 ,0 , ,1
55 , ,Lithuania ,1 ,0 , ,1
56 , ,Macedonia (North) ,1 ,0 , ,1
57 , ,Nepal ,1 ,0 , ,1
58 , ,New Zealand ,1 ,0 , ,1
59 , ,Nigeria ,1 ,0 , ,1
60 , ,San Marino ,1 ,0 , ,1
61 , ,Sri Lanka ,1 ,0 , ,1
