;;TOTALE;89233;3050;45049;41134;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;
1;;China;80026;2912;44462;32652;;;;;;;;
2;;South Korea;4335;26;26;4283;;;;;;;;
3;;Italia;1694;34;83;1577;;;;;;;;
4;;Iran;978;55;175;748;;;;;;;;
5;;Diamond Princess;705;6;10;689;;;;;;;;
6;;Japan;256;6;19;231;;;;;;;;
7;;Germany;150;0;16;134;;;;;;;;
8;;France;130;2;12;116;;;;;;;;
9;;Singapore;106;0;74;32;;;;;;;;
10;;Hong Kong;100;2;36;62;;;;;;;;
11;;United States;88;2;9;77;;;;;;;;
12;;Spain;84;0;2;82;;;;;;;;
13;;Kuwait;56;0;;56;;;;;;;;
14;;Bahrain;47;0;;47;;;;;;;;
15;;Thailand;43;1;30;12;;;;;;;;
16;;Taiwan;40;1;5;34;;;;;;;;
17;;United Kingdom;36;0;8;28;;;;;;;;
18;;Australia;30;1;15;14;;;;;;;;
19;;Malaysia;29;0;22;7;;;;;;;;
20;;Canada;24;0;3;21;;;;;;;;
21;;Switzerland;24;0;;24;;;;;;;;
22;;UAE;21;0;5;16;;;;;;;;
23;;Iraq;19;0;;19;;;;;;;;
24;;Norway;19;0;;19;;;;;;;;
25;;Vietnam;16;0;16;0;;;;;;;;
26;;Austria;14;0;;14;;;;;;;;
27;;Sweden;14;0;;14;;;;;;;;
28;;Israel;10;0;;10;;;;;;;;
29;;Lebanon;10;0;;10;;;;;;;;
30;;Macau;10;0;6;4;;;;;;;;
31;;Netherlands;10;0;;10;;;;;;;;
32;;Croatia;8;0;;8;;;;;;;;
33;;San Marino;8;1;;7;;;;;;;;
34;;Greece;7;0;;7;;;;;;;;
35;;Ecuador;6;0;;6;;;;;;;;
36;;Finland;6;0;1;5;;;;;;;;
37;;Oman;6;0;2;4;;;;;;;;
38;;India;5;0;3;2;;;;;;;;
39;;Mexico;5;0;;5;;;;;;;;
40;;Denmark;4;0;;4;;;;;;;;
41;;Pakistan;4;0;;4;;;;;;;;
42;;Algeria;3;0;;3;;;;;;;;
43;;Azerbaijan;3;0;;3;;;;;;;;
44;;Czech Republic;3;0;;3;;;;;;;;
45;;Georgia;3;0;;3;;;;;;;;
46;;Iceland;3;0;;3;;;;;;;;
47;;Philippines;3;1;2;0;;;;;;;;
48;;Qatar;3;0;;3;;;;;;;;
49;;Romania;3;0;;3;;;;;;;;
50;;Belgium;2;0;1;1;;;;;;;;
51;;Brazil;2;0;;2;;;;;;;;
52;;Egypt;2;0;1;1;;;;;;;;
53;;Indonesia;2;0;;2;;;;;;;;
54;;Russia;2;0;2;0;;;;;;;;
55;;Afghanistan;1;0;;1;;;;;;;;
56;;Andorra;1;0;;1;;;;;;;;
57;;Armenia;1;0;;1;;;;;;;;
58;;Belarus;1;0;;1;;;;;;;;
59;;Cambodia;1;0;1;0;;;;;;;;
60;;Dominican Republic;1;0;;1;;;;;;;;
61;;Estonia;1;0;;1;;;;;;;;
62;;Ireland;1;0;;1;;;;;;;;
63;;Lithuania;1;0;;1;;;;;;;;
64;;Luxembourg;1;0;;1;;;;;;;;
65;;Monaco;1;0;;1;;;;;;;;
66;;Nepal;1;0;1;0;;;;;;;;
67;;New Zealand;1;0;;1;;;;;;;;
68;;Nigeria;1;0;;1;;;;;;;;
69;;North Macedonia;1;0;;1;;;;;;;;
70;;Sri Lanka;1;0;1;0;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
