;;TOTALE;91303;3123;48009;40171;;;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;;;
1;;China;80151;2943;47204;30004;;;;;;;;;;
2;;South Korea;5186;34;26;5126;;;;;;;;;;
3;;Italia;2036;52;149;1835;;;;;;;;;;
4;;Iran;1501;66;291;1144;;;;;;;Diamond Princess;706;6;10
5;;Diamond Princess;706;6;10;690;;;;;;;Iran;1,501;66;291
6;;Japan;274;6;43;225;;;;;;;Japan;274;6;43
7;;France;191;3;12;176;;;;;;;Singapore;108;0;78
8;;Germany;165;0;16;149;;;;;;;Hong Kong;100;2;36
9;;Spain;120;0;2;118;;;;;;;Germany;165;0;16
10;;Singapore;108;0;78;30;;;;;;;United States;103;6;9
11;;United States;103;6;9;88;;;;;;;France;191;3;12
12;;Hong Kong;100;2;36;62;;;;;;;Spain;120;0;2
13;;Kuwait;56;0;;56;;;;;;;Kuwait;56;0;
14;;Bahrain;49;0;;49;;;;;;;Thailand;43;1;30
15;;Thailand;43;1;30;12;;;;;;;Taiwan;41;1;12
16;;Taiwan;41;1;12;28;;;;;;;Bahrain;49;0;
17;;United Kingdom;41;0;8;33;;;;;;;Malaysia;29;0;22
18;;Australia;31;1;15;15;;;;;;;Australia;31;1;15
19;;Switzerland;30;0;;30;;;;;;;United Kingdom;41;0;8
20;;Malaysia;29;0;22;7;;;;;;;UAE;21;0;5
21;;Canada;27;0;3;24;;;;;;;Vietnam;16;0;16
22;;Iraq;26;0;;26;;;;;;;Canada;27;0;3
23;;Norway;25;0;;25;;;;;;;Sweden;15;0;
24;;UAE;21;0;5;16;;;;;;;Macau;10;0;6
25;;Austria;18;0;;18;;;;;;;Iraq;26;0;
26;;Netherlands;18;0;;18;;;;;;;Israel;12;0;
27;;Vietnam;16;0;16;0;;;;;;;Oman;6;0;2
28;;Sweden;15;0;;15;;;;;;;Philippines;3;1;2
29;;Lebanon;13;0;;13;;;;;;;India;5;0;3
30;;Israel;12;0;;12;;;;;;;Finland;7;0;1
31;;Macau;10;0;6;4;;;;;;;Russia;3;0;2
32;;Iceland;9;0;;9;;;;;;;Nepal;1;0;1
33;;Belgium;8;0;1;7;;;;;;;Cambodia;1;0;1
34;;Croatia;8;0;;8;;;;;;;Sri Lanka;1;0;1
35;;San Marino;8;1;;7;;;;;;;Belgium;8;0;1
36;;Ecuador;7;0;;7;;;;;;;Egypt;2;0;1
37;;Finland;7;0;1;6;;;;;;;Lebanon;13;0;
38;;Greece;7;0;;7;;;;;;;Afghanistan;1;0;
39;;Qatar;7;0;;7;;;;;;;Austria;18;0;
40;;Oman;6;0;2;4;;;;;;;Croatia;8;0;
41;;Algeria;5;0;;5;;;;;;;Switzerland;30;0;
42;;India;5;0;3;2;;;;;;;Algeria;5;0;
43;;Mexico;5;0;1;4;;;;;;;Brazil;2;0;
44;;Pakistan;5;0;;5;;;;;;;Greece;7;0;
45;;Czech Republic;4;0;;4;;;;;;;Pakistan;5;0;
46;;Denmark;4;0;;4;;;;;;;North Macedonia;1;0;
47;;Azerbaijan;3;0;;3;;;;;;;Georgia;3;0;
48;;Georgia;3;0;;3;;;;;;;Norway;25;0;
49;;Philippines;3;1;2;0;;;;;;;Romania;3;0;
50;;Romania;3;0;;3;;;;;;;Denmark;4;0;
51;;Russia;3;0;2;1;;;;;;;Estonia;1;0;
52;;Brazil;2;0;;2;;;;;;;Netherlands;18;0;
53;;Egypt;2;0;1;1;;;;;;;San Marino;8;1;
54;;Indonesia;2;0;;2;;;;;;;Nigeria;1;0;
55;;Portugal;2;0;;2;;;;;;;Lithuania;1;0;
56;;Afghanistan;1;0;;1;;;;;;;New Zealand;1;0;
57;;Andorra;1;0;;1;;;;;;;Belarus;1*;0;
58;;Armenia;1;0;;1;;;;;;;Mexico;5;0;1
59;;Belarus;1;0;;1;;;;;;;Azerbaijan;3;0;
60;;Cambodia;1;0;1;0;;;;;;;Iceland;9;0;
61;;Dominican Republic;1;0;;1;;;;;;;Monaco;1;0;
62;;Estonia;1;0;;1;;;;;;;Qatar;7;0;
63;;Ireland;1;0;;1;;;;;;;Ecuador;7;0;
64;;Jordan;1;0;;1;;;;;;;Luxembourg;1;0;
65;;Latvia;1;0;;1;;;;;;;Ireland;1;0;
66;;Lithuania;1;0;;1;;;;;;;Czech Republic;4;0;
67;;Luxembourg;1;0;;1;;;;;;;Dominican Republic;1;0;
68;;Monaco;1;0;;1;;;;;;;Armenia;1;0;
69;;Morocco;1;0;;1;;;;;;;Indonesia;2;0;
70;;Nepal;1;0;1;0;;;;;;;Andorra;1;0;
71;;New Zealand;1;0;;1;;;;;;;Portugal;2;0;
72;;Nigeria;1;0;;1;;;;;;;Jordan;1;0;
73;;North Macedonia;1;0;;1;;;;;;;Tunisia;1;0;
74;;Saudi Arabia;1;0;;1;;;;;;;Saudi Arabia;1;0;
75;;Senegal;1;0;;1;;;;;;;Senegal;1;0;
76;;Sri Lanka;1;0;1;0;;;;;;;Latvia;1;0;
;;Tunisia;1;0;;1;;;;;;;Morocco;1;0;
;;Ukraine;1;0;;1;;;;;;;Ukraine;1;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
