;;TOTALE;92873;3204;50672;38997;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;
1;;China;80270;2981;49856;27433;;;;;;
2;;South Korea;5186;34;26;5126;;;;;;
3;;Italia;2502;79;160;2263;;;;;;
4;;Iran;2336;77;291;1968;;;;;;
5;;Diamond Princess;706;6;10;690;;;;;;
6;;Japan;293;6;43;244;;;;;;
7;;France;212;4;12;196;;;;;;
8;;Germany;196;0;16;180;;;;;;
9;;Spain;151;1;2;148;;;;;;
10;;United States;112;9;9;94;;;;;;
11;;Singapore;110;0;78;32;;;;;;
12;;Hong Kong;101;2;36;63;;;;;;
13;;Kuwait;56;0;0;56;;;;;;
14;;United Kingdom;51;0;8;43;;;;;;
15;;Bahrain;49;0;0;49;;;;;;
16;;Thailand;43;1;30;12;;;;;;
17;;Taiwan;41;1;12;28;;;;;;
18;;Switzerland;37;0;0;37;;;;;;
19;;Australia;31;1;15;15;;;;;;
20;;Iraq;31;0;0;31;;;;;;
21;;Malaysia;29;0;22;7;;;;;;
22;;Canada;27;0;3;24;;;;;;
23;;Norway;25;0;0;25;;;;;;
24;;Austria;24;0;0;24;;;;;;
25;;Netherlands;23;0;0;23;;;;;;
26;;UAE;21;0;5;16;;;;;;
27;;Vietnam;16;0;16;0;;;;;;
28;;Sweden;15;0;0;15;;;;;;
29;;Lebanon;13;0;0;13;;;;;;
30;;Israel;12;0;0;12;;;;;;
31;;Macau;10;0;6;4;;;;;;
32;;Iceland;9;0;0;9;;;;;;
33;;Belgium;8;0;1;7;;;;;;
34;;Croatia;8;0;0;8;;;;;;
35;;San Marino;8;1;0;7;;;;;;
36;;Ecuador;7;0;0;7;;;;;;
37;;Finland;7;0;1;6;;;;;;
38;;Greece;7;0;0;7;;;;;;
39;;Qatar;7;0;0;7;;;;;;
40;;Oman;6;0;2;4;;;;;;
41;;Algeria;5;0;0;5;;;;;;
42;;India;5;0;3;2;;;;;;
43;;Mexico;5;0;1;4;;;;;;
44;;Pakistan;5;0;0;5;;;;;;
45;;Czech Republic;4;0;0;4;;;;;;
46;;Denmark;4;0;0;4;;;;;;
47;;Azerbaijan;3;0;0;3;;;;;;
48;;Georgia;3;0;0;3;;;;;;
49;;Philippines;3;1;2;0;;;;;;
50;;Romania;3;0;0;3;;;;;;
51;;Russia;3;0;2;1;;;;;;
52;;Brazil;2;0;0;2;;;;;;
53;;Egypt;2;0;1;1;;;;;;
54;;Indonesia;2;0;0;2;;;;;;
55;;Ireland;2;0;0;2;;;;;;
56;;Portugal;2;0;0;2;;;;;;
57;;Afghanistan;1;0;0;1;;;;;;
58;;Andorra;1;0;0;1;;;;;;
59;;Argentina;1;0;0;1;;;;;;
60;;Armenia;1;0;0;1;;;;;;
61;;Belarus;1;0;0;1;;;;;;
62;;Cambodia;1;0;1;0;;;;;;
63;;Chile;1;0;0;1;;;;;;
64;;Dominican Republic;1;0;0;1;;;;;;
65;;Estonia;1;0;0;1;;;;;;
66;;Jordan;1;0;0;1;;;;;;
67;;Latvia;1;0;0;1;;;;;;
68;;Lithuania;1;0;0;1;;;;;;
69;;Luxembourg;1;0;0;1;;;;;;
70;;Monaco;1;0;0;1;;;;;;
71;;Morocco;1;0;0;1;;;;;;
72;;Nepal;1;0;1;0;;;;;;
73;;New Zealand;1;0;0;1;;;;;;
74;;Nigeria;1;0;0;1;;;;;;
75;;North Macedonia;1;0;0;1;;;;;;
76;;Saudi Arabia;1;0;0;1;;;;;;
77;;Senegal;1;0;0;1;;;;;;
78;;Sri Lanka;1;0;1;0;;;;;;
79;;Tunisia;1;0;0;1;;;;;;
80;;Ukraine;1;0;0;1;;;;;;
;;;;;;;;;;;;
