;;TOTALE;118488;4261;64752;49475;;;;;;;;;
;;Paese/Location;Casi confermati;Morti;Guariti;In corso;;;;;;;;;
1;;China;80754;3136;59897;17721;;;;;;France;1784;33;12
2;;Italia;10149;631;1040;8478;;;;;;Spain;1695;36;135
3;;Iran;8042;291;2731;5020;;;;;;Germany;1565;2;18
4;;South Korea;7513;54;247;7212;;;;;;United States;975;30;9
5;;France;1784;33;12;1739;;;;;;Diamond Princess;696;7;245
6;;Spain;1695;36;135;1524;;;;;;Japan;581;10;59
7;;Germany;1565;2;18;1545;;;;;;Netherlands;382;4;
8;;United States;975;30;9;936;;;;;;Switzerland;491;3;3
9;;Diamond Princess;696;7;245;444;;;;;;Norway;400;0;
10;;Japan;581;10;59;512;;;;;;United Kingdom;383;6;12
11;;Switzerland;491;3;3;485;;;;;;Sweden;326;0;
12;;Norway;400;0;;400;;;;;;Belgium;267;0;1
13;;United Kingdom;383;6;12;365;;;;;;Denmark*;264;0;
14;;Netherlands;382;4;;378;;;;;;Austria;182;0;4
15;;Sweden;326;0;;326;;;;;;Singapore;166;0;93
16;;Belgium;267;0;1;266;;;;;;Malaysia;129;0;25
17;;Denmark*;264;0;;264;;;;;;Hong Kong;121;2;59
18;;Austria;182;0;4;178;;;;;;Bahrain;110;0;30
19;;Singapore;166;0;93;73;;;;;;Australia;101;3;22
20;;Malaysia;129;0;25;104;;;;;;Greece;89;0;
21;;Hong Kong;121;2;59;60;;;;;;Canada;72;1;8
22;;Bahrain;110;0;30;80;;;;;;Iceland;65;0;
23;;Australia;101;3;22;76;;;;;;Kuwait;64;0;0
24;;Greece;89;0;;89;;;;;;Czech Republic;63;0;0
25;;Canada;72;1;8;63;;;;;;Iraq;60;5;
26;;Iceland;65;0;;65;;;;;;UAE;59;0;7
27;;Kuwait;64;0;0;64;;;;;;Egypt;55;1;1
28;;Czech Republic;63;0;0;63;;;;;;India;50;0;4
29;;Iraq;60;5;;55;;;;;;Thailand;50;1;31
30;;UAE;59;0;7;52;;;;;;San Marino;49;2;
31;;Egypt;55;1;1;53;;;;;;Taiwan;45;1;15
32;;India;50;0;4;46;;;;;;Portugal;39;0;
33;;Thailand;50;1;31;18;;;;;;Israel;39;0;
34;;San Marino;49;2;;47;;;;;;Brazil;34;0;
35;;Taiwan;45;1;15;29;;;;;;Lebanon;32;0;
36;;Israel;39;0;;39;;;;;;Vietnam;31;0;16
37;;Portugal;39;0;;39;;;;;;Slovenia;31;0;0
38;;Brazil;34;0;;34;;;;;;Finland;30;0;1
39;;Ireland;34;0;;34;;;;;;Romania;25;0;5
40;;Lebanon;32;0;;32;;;;;;Ireland;34;0;
