;;TOTALE;160295;6204;75911;78180
;;Paese/Location;Casi confermati;Morti;Guariti;In corso
1;;China;80844;3199;66911;10734
2;;Italy;24747;1809;2335;20603
3;;Iran;12729;611;4339;7779
4;;South Korea;8162;75;834;7253
5;;Spain;6391;196;517;5678
6;;Germany;4585;9;46;4530
7;;France;4499;91;12;4396
8;;United States;2866;57;9;2800
9;;Switzerland;1355;13;4;1338
10;;United Kingdom;1140;21;18;1101
11;;Norway;1120;3;;1117
12;;Sweden;961;2;;959
13;;Netherlands;959;12;2;945
14;;Denmark;836;1;;835
15;;Japan;805;22;59;724
16;;Austria;800;1;6;793
17;;Diamond Princess;697;7;245;445
18;;Belgium;689;4;1;684
19;;Qatar;337;0;4;333
20;;Australia;262;3;27;232
21;;Canada;247;1;11;235
22;;Malaysia;238;0;35;203
23;;Greece;228;3;8;217
24;;Bahrain;212;0;60;152
25;;Singapore;212;0;105;107
26;;Finland;210;0;1;209
27;;Israel;193;0;3;190
28;;Czech Republic;189;0;0;189
29;;Slovenia;181;1;0;180
30;;Portugal;169;0;;169
31;;Iceland;161;0;;161
32;;Hong Kong;142;4;81;57
33;;Ireland;129;2;;127
34;;Romania;123;0;9;114
35;;Brazil;121;0;1;120
36;;Indonesia;117;5;5;107
37;;Estonia;115;0;1;114
38;;Thailand;114;1;35;78
39;;Kuwait;112;0;9;103
40;;Philippines;111;11;2;98
41;;Poland;111;3;0;108
42;;Egypt;110;2;27;81
43;;Iraq;110;9;26;75
44;;India;107;2;10;95
45;;Saudi Arabia;103;0;2;101
46;;San Marino;101;5;4;92
47;;Lebanon;93;3;;90
48;;United Arab Emirates;86;0;23;63
49;;Chile;61;0;;61
50;;Russia;59;0;4;55
51;;Taiwan;53;1;20;32
52;;Luxembourg;51;1;;50
53;;Vietnam;49;0;16;33
54;;Serbia;46;0;;46
55;;Algeria;45;3;10;32
56;;Argentina;45;2;;43
57;;Slovakia;44;0;;44
58;;Panama;43;1;;42
59;;Peru;43;0;;43
60;;Bulgaria;41;2;;39
61;;Mexico;41;0;4;37
62;;Albania;38;1;;37
63;;Croatia;38;0;1;37
64;;Palestine;38;0;0;38
65;;South Africa;38;0;;38
66;;Georgia;30;0;1;29
67;;Hungary;30;0;0;30
68;;Pakistan;30;0;2;28
69;;Ecuador;28;2;;26
70;;Belarus;27;0;3;24
71;;Costa Rica;27;0;;27
72;;Cyprus;26;0;;26
73;;Latvia;26;0;;26
74;;Colombia;24;0;;24
75;;Senegal;24;0;0;24
76;;Bosnia;21;0;;21
77;;Armenia;20;0;;20
78;;Oman;20;0;9;11
79;;Azerbaijan;19;1;3;15
80;;North Macedonia;19;0;0;19
81;;Malta;18;0;1;17
82;;Morocco;18;1;;17
83;;Tunisia;18;0;;18
84;;Afghanistan;16;0;;16
85;;Moldova;12;0;;12
86;;Dominican Republic;11;0;;11
87;;Maldives;11;0;;11
88;;Bolivia;10;;;10
89;;Macau;10;0;6;4
90;;Sri Lanka;10;0;1;9
91;;Lithuania;9;0;;9
92;;Jamaica;8;0;;8
93;;New Zealand;8;0;;8
94;;Cambodia;7;0;1;6
95;;Paraguay;7;0;;7
96;;Jordan;6;0;1;5
97;;Turkey;6;0;;6
98;;Bangladesh;5;0;;5
99;;Liechtenstein;4;0;;4
100;;Honduras;3;0;;3
101;;Ukraine;3;1;;2
102;;Cameroon;2;0;;2
103;;Monaco;2;0;;2
104;;Namibia;2;0;;2
105;;Nigeria;2;0;0;2
106;;Seychelles;2;0;;2
107;;Andorra;1;0;;1
108;;Bhutan;1;0;;1
109;;Central African Republic;1;0;;1
110;;Congo Republic;1;0;;1
111;;DR Congo;1;0;;1
112;;Gibraltar;1;0;;1
113;;Mauritania;1;0;;1
114;;Nepal;1;0;1;0
115;;Rwanda;1;0;;1
116;;Togo;1;0;;1
117;;Uzbekistan;1;0;;1
118;;Vatican City;1;0;;1
119;;;;;;0
120;;;;;;0
