;;Paese/Location;Casi conf;Morti;Guariti;In corso
1;;China;81054;3261;72440;5353
2;;Italy;59138;5476;7024;46638
3;;United States;32331;344;29;31958
4;;Spain;28603;1756;2575;24272
5;;Germany;23937;92;266;23579
6;;Iran;20610;1556;7635;11419
7;;France;14459;562;1587;12310
8;;South Korea;8897;104;2909;5884
9;;Switzerland;7014;80;4;6930
10;;United Kingdom;5018;233;79;4706
11;;Netherlands;3631;136;2;3493
12;;Austria;3026;11;9;3006
13;;Belgium;2815;67;31;2717
14;;Norway;2164;7;;2157
15;;Sweden;1746;20;;1726
16;;Denmark;1418;13;3;1402
17;;Australia;1349;7;73;1269
18;;Canada;1318;19;15;1284
19;;Portugal;1280;12;5;1263
20;;Malaysia;1183;9;114;1060
21;;Brazil;1178;18;1;1159
22;;Japan;1055;36;215;804
23;;Czech Republic;995;0;6;989
24;;Turkey;947;21;;926
25;;Israel;883;1;14;868
26;;Ireland;785;3;;782
27;;Diamond Princess;712;8;551;153
28;;Luxembourg;670;8;;662
29;;Pakistan;645;3;5;637
30;;Thailand;599;1;45;553
31;;Chile;537;0;8;529
32;;Poland;536;5;0;531
33;;Ecuador;532;7;3;522
34;;Greece;530;13;19;498
35;;Finland;521;1;10;510
36;;Qatar;481;0;27;454
37;;Iceland;473;0;5;468
38;;Indonesia;450;38;17;395
39;;Singapore;432;2;140;290
40;;Saudi Arabia;392;0;8;384
41;;Slovenia;383;1;0;382
42;;Romania;367;0;52;315
43;;India;324;4;23;297
44;;Peru;318;5;2;311
45;;Bahrain;310;1;125;184
46;;Philippines;307;19;8;280
47;;Russia;306;1;16;289
48;;Estonia;306;0;2;304
49;;Egypt;294;10;41;243
50;;Hong Kong;274;4;100;170
51;;Mexico;251;2;35;214
52;;Panama;245;3;0;242
53;;South Africa;240;0;;240
54;;Argentina;225;4;;221
55;;Iraq;214;17;52;145
56;;Colombia;210;1;;209
57;;Lebanon;206;4;3;199
58;;Croatia;206;1;5;200
59;;Armenia;190;0;2;188
60;;Kuwait;188;0;30;158
61;;Slovakia;178;0;;178
62;;Bulgaria;171;3;3;165
63;;Serbia;171;0;;171
